hatchery,stock,release_site,brood_year,tag_code,first_release_month,first_release_doy,last_release_doy,avg_weight,release_age,avg_length,Releases,Raw_Recoveries,Exp_Recoveries,SampleRate_obs,Raw_SAR,Expanded_Tags_Type,...18,fitted
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R -LOWER,1987,634204,4,93,93,54.64,2,147,147638,1123,1943.97912859533,0.577681099288061,0.013167,RMIS_adjusted_for_terminal_harvest,0.013318534347218582,0.013318534347218582
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R    26.0002,1980,632134,4,91,91,54.64,2,NA,24014,47,106.396122032064,0.441745423633354,0.004431,RMIS_adjusted_for_terminal_harvest,0.0047757519785936575,0.0047757519785936575
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R    26.0002,1980,632309,4,91,91,54.64,2,NA,23917,63,119.362409558945,0.527804358447443,0.004991,RMIS_adjusted_for_terminal_harvest,0.0047757519785936575,0.0047757519785936575
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R    26.0002,1980,632310,4,91,91,54.64,2,NA,23298,76,149.464236424113,0.508482843911542,0.006415,RMIS_adjusted_for_terminal_harvest,0.0047757519785936575,0.0047757519785936575
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R    26.0002,1980,632311,4,91,91,54.64,2,NA,24391,43,71.7776419208216,0.599072341320903,0.002943,RMIS_adjusted_for_terminal_harvest,0.0047757519785936575,0.0047757519785936575
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R    26.0002,1981,632505,4,94,94,69.77,2,NA,73000,549,1024.98032212266,0.535620038893101,0.014041,RMIS_adjusted_for_terminal_harvest,0.0138351817770573,0.0138351817770573
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R    26.0002,1981,632506,4,94,94,64.79,2,NA,77454,525,1010.28012835764,0.519657850593839,0.013044,RMIS_adjusted_for_terminal_harvest,0.013355559063382578,0.013355559063382578
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R    26.0002,1981,632609,4,94,94,80.99,2,NA,58292,525,945.751298498882,0.55511422594216,0.016224,RMIS_adjusted_for_terminal_harvest,0.015067454445073224,0.015067454445073224
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R    26.0002,1982,632834,4,94,94,67.7,2,NA,73205,437,766.184856559948,0.570358440601479,0.010466,RMIS_adjusted_for_terminal_harvest,0.009429358034929738,0.009429358034929738
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R    26.0002,1982,632835,4,94,94,58.9,2,NA,73878,356,624.226229647011,0.570306057471042,0.008449,RMIS_adjusted_for_terminal_harvest,0.008767781165250671,0.008767781165250671
COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,COWLITZ R    26.0002,1982,632836,4,94,94,56.69,2,NA,72124,275,470.80625721862,0.584104386429815,0.006528,RMIS_adjusted_for_terminal_harvest,0.008558992710088136,0.008558992710088136
